File: keel-candidate
Build ID: 780cc483ac259efb54efa1bdafb7bd707e6d57cf
Type: cpu
Time: 2026-09-07 01:52:04 PDT
Duration: 32.69s, Total samples = 31.25s (95.60%)
Showing nodes accounting for 31.25s, 100% of 31.25s total
      flat  flat%   sum%        cum   cum%
     0.01s 0.032% 99.30%      0.01s 0.032%  runtime.(*pageCache).alloc
     0.01s 0.032% 99.33%      0.01s 0.032%  runtime.(*pallocBits).summarize
     0.01s 0.032% 99.36%      0.01s 0.032%  runtime.(*scavengeIndex).free
     0.01s 0.032% 99.39%      0.01s 0.032%  runtime.(*spanSet).push
     0.01s 0.032% 99.42%      0.01s 0.032%  runtime.arenaIndex
     0.01s 0.032% 99.46%      0.01s 0.032%  runtime.chanrecv
     0.01s 0.032% 99.49%      0.08s  0.26%  runtime.convTstring
     0.01s 0.032% 99.52%      0.13s  0.42%  runtime.entersyscall
     0.01s 0.032% 99.55%      0.01s 0.032%  runtime.findRunnable
     0.01s 0.032% 99.58%      0.01s 0.032%  runtime.getGCMaskOnDemand
     0.01s 0.032% 99.62%      0.02s 0.064%  runtime.mallocgcSmallNoScanSC6
     0.01s 0.032% 99.65%      0.01s 0.032%  runtime.mallocgcSmallScanSlowPath
     0.01s 0.032% 99.68%      0.01s 0.032%  runtime.pcvalue
     0.01s 0.032% 99.71%      0.01s 0.032%  runtime.publicationBarrier
     0.01s 0.032% 99.74%      0.01s 0.032%  runtime.releasem
     0.01s 0.032% 99.78%      0.01s 0.032%  runtime.roundupsize
     0.01s 0.032% 99.81%      0.01s 0.032%  runtime.save
     0.01s 0.032% 99.84%      0.01s 0.032%  runtime.spanClass.noscan
     0.01s 0.032% 99.87%      0.04s  0.13%  runtime.sweepone
     0.01s 0.032% 99.90%      0.03s 0.096%  runtime.typePointers.next
     0.01s 0.032% 99.94%      0.01s 0.032%  runtime.typePointers.nextFast
     0.01s 0.032%   100%      0.81s  2.59%  syscall.EpollWait
     0.01s 0.032%   100%      0.80s  2.56%  syscall.Syscall6
         0     0%   100%      0.02s 0.064%  bytes.IndexByte
         0     0%   100%      0.01s 0.032%  github.com/brandopakel/keel/internal/core.FlushAOF
         0     0%   100%      0.02s 0.064%  github.com/brandopakel/keel/internal/core.KeysWithExpiry
         0     0%   100%      0.80s  2.56%  github.com/brandopakel/keel/internal/core.cmdGET
         0     0%   100%      0.02s 0.064%  github.com/brandopakel/keel/internal/core.cmdSET
         0     0%   100%      0.07s  0.22%  github.com/brandopakel/keel/internal/core.commandKeys
         0     0%   100%      0.54s  1.73%  github.com/brandopakel/keel/internal/core.encodeString (inline)
         0     0%   100%      0.15s  0.48%  github.com/brandopakel/keel/internal/data_structure.(*Dict).Get
         0     0%   100%      1.37s  4.38%  github.com/brandopakel/keel/internal/data_structure.(*Dict).Has
         0     0%   100%      0.01s 0.032%  github.com/brandopakel/keel/internal/data_structure.(*Dict).HasExpired
         0     0%   100%      0.02s 0.064%  github.com/brandopakel/keel/internal/data_structure.(*Dict).Put
         0     0%   100%      0.02s 0.064%  github.com/brandopakel/keel/internal/data_structure.(*Keyed[go.shape.*uint8]).Exists
         0     0%   100%      0.02s 0.064%  github.com/brandopakel/keel/internal/data_structure.(*Keyed[go.shape.*uint8]).Has
         0     0%   100%      0.02s 0.064%  github.com/brandopakel/keel/internal/data_structure.(*keyMap[go.shape.struct { Value string; Access uint64 }]).set
         0     0%   100%      0.02s 0.064%  github.com/brandopakel/keel/internal/data_structure.(*keyMap[go.shape.struct { github.com/brandopakel/keel/internal/data_structure.value go.shape.*uint8; github.com/brandopakel/keel/internal/data_structure.access uint64; github.com/brandopakel/keel/internal/data_structure.bytes uint64 }]).getPtr
         0     0%   100%      0.02s 0.064%  github.com/brandopakel/keel/internal/data_structure.(*keyMap[go.shape.struct { github.com/brandopakel/keel/internal/data_structure.value go.shape.*uint8; github.com/brandopakel/keel/internal/data_structure.access uint64; github.com/brandopakel/keel/internal/data_structure.bytes uint64 }]).position
         0     0%   100%      0.09s  0.29%  github.com/brandopakel/keel/internal/data_structure.EnforceLimits
         0     0%   100%      0.09s  0.29%  github.com/brandopakel/keel/internal/data_structure.overLimit
         0     0%   100%      2.63s  8.42%  github.com/brandopakel/keel/internal/server.(*client).respond
         0     0%   100%      0.01s 0.032%  github.com/brandopakel/keel/internal/server.shuttingDown
         0     0%   100%      0.10s  0.32%  hash/maphash.String
         0     0%   100%      0.08s  0.26%  hash/maphash.rthash (inline)
         0     0%   100%      0.04s  0.13%  internal/runtime/maps.MemHash
         0     0%   100%      0.04s  0.13%  internal/strconv.AppendInt
         0     0%   100%     30.88s 98.82%  main.runServer.func1
         0     0%   100%      0.10s  0.32%  runtime.(*mcache).refill
         0     0%   100%      0.08s  0.26%  runtime.(*mcentral).cacheSpan
         0     0%   100%      0.07s  0.22%  runtime.(*mcentral).grow
         0     0%   100%      0.01s 0.032%  runtime.(*mcentral).uncacheSpan
         0     0%   100%      0.06s  0.19%  runtime.(*mheap).alloc
         0     0%   100%      0.06s  0.19%  runtime.(*mheap).alloc.func1
         0     0%   100%      0.06s  0.19%  runtime.(*mheap).allocSpan
         0     0%   100%      0.02s 0.064%  runtime.(*mheap).freeSpan
         0     0%   100%      0.02s 0.064%  runtime.(*mheap).freeSpan.func1
         0     0%   100%      0.02s 0.064%  runtime.(*mheap).freeSpanLocked
         0     0%   100%      0.02s 0.064%  runtime.(*pageAlloc).free
         0     0%   100%      0.01s 0.032%  runtime.(*pageAlloc).update
         0     0%   100%      0.03s 0.096%  runtime.(*sweepLocked).sweep
         0     0%   100%      0.01s 0.032%  runtime.(*unwinder).next
         0     0%   100%      0.01s 0.032%  runtime.(*unwinder).resolveInternal
         0     0%   100%      0.04s  0.13%  runtime.bgsweep
         0     0%   100%      0.01s 0.032%  runtime.callers
         0     0%   100%      0.01s 0.032%  runtime.callers.func1
         0     0%   100%      0.01s 0.032%  runtime.funcspdelta
         0     0%   100%      0.03s 0.096%  runtime.futexwakeup
         0     0%   100%      0.01s 0.032%  runtime.gcAssistAlloc
         0     0%   100%      0.01s 0.032%  runtime.gcAssistAlloc.func2
         0     0%   100%      0.01s 0.032%  runtime.gcAssistAlloc1
         0     0%   100%      0.25s   0.8%  runtime.gcBgMarkWorker
         0     0%   100%      0.25s   0.8%  runtime.gcBgMarkWorker.func2
         0     0%   100%      0.25s   0.8%  runtime.gcDrain
         0     0%   100%      0.04s  0.13%  runtime.gcDrainMarkWorkerFractional (inline)
         0     0%   100%      0.21s  0.67%  runtime.gcDrainMarkWorkerIdle (inline)
         0     0%   100%      0.01s 0.032%  runtime.gcDrainN
         0     0%   100%      0.01s 0.032%  runtime.getGCMask
         0     0%   100%      0.03s 0.096%  runtime.gopreempt_m
         0     0%   100%      0.04s  0.13%  runtime.goschedImpl
         0     0%   100%      0.01s 0.032%  runtime.gosched_m
         0     0%   100%      0.01s 0.032%  runtime.greyobject
         0     0%   100%      0.07s  0.22%  runtime.growslice
         0     0%   100%      0.01s 0.032%  runtime.mProf_Malloc
         0     0%   100%      0.02s 0.064%  runtime.mallocgcSmallNoScanSlowPath
         0     0%   100%      0.07s  0.22%  runtime.mapaccess1_fast64
         0     0%   100%      0.03s 0.096%  runtime.mapaccess1_faststr
         0     0%   100%      0.01s 0.032%  runtime.mapassign_fast64
         0     0%   100%      0.01s 0.032%  runtime.mcall
         0     0%   100%      0.03s 0.096%  runtime.morestack
         0     0%   100%      0.03s 0.096%  runtime.newMarkBits
         0     0%   100%      0.03s 0.096%  runtime.newstack
         0     0%   100%      0.03s 0.096%  runtime.notewakeup
         0     0%   100%      0.01s 0.032%  runtime.pageIndexOf
         0     0%   100%      0.01s 0.032%  runtime.profilealloc
         0     0%   100%      0.01s 0.032%  runtime.schedule
         0     0%   100%      0.01s 0.032%  runtime.selectnbrecv
         0     0%   100%      0.03s 0.096%  runtime.startm
         0     0%   100%      0.35s  1.12%  runtime.systemstack
         0     0%   100%      0.01s 0.032%  runtime.tracebackPCs
         0     0%   100%      0.03s 0.096%  runtime.wakep
         0     0%   100%      0.04s  0.13%  strconv.AppendInt (inline)
         0     0%   100%      4.01s 12.83%  syscall.Read (inline)
